Item,Carga CPU,Carga RAM,Promedio Trespuesta,AvgIOReadOperationsPerSec,AvgIOWriteOperationsPerSec,SQL Cache Memory,Sesiones Activas,Loginspersecond,User Conections,Disponibilidad SQL,Average Latch Wait Time,Lock Wait Time,Eventos SQL
129,51,98.02131653,1,358.9007748,432.2161295,67419.11111,103.9166667,0.097731795,76.58333333,100,2.284629861,14.16863094,0
130,60,97.90937551,1,372.8601679,414.6732505,74688,139.8611111,0.095222909,77.05555556,97.22222222,2.196717837,14.9461302,0
131,42,97.87361654,1,409.3451503,362.0035369,74188.66667,102.5277778,0.096620196,77.47222222,100,2.541447989,16.20695646,0
132,36,97.52171071,1,357.4258736,400.6308351,74143.55556,128.1944444,0.095082741,77.52777778,100,3.094009819,19.30742621,0
133,50.66666667,97.85460663,1,142.9223065,347.9286564,73125.55556,128.3333333,0.094478254,74.22222222,100,3.435479772,17.18505625,0
134,59.66666667,97.87691243,1,134.2377885,377.3452714,70518.22222,93.19444444,0.10041189,80.80555556,100,3.308360445,17.33412787,0
135,62.66666667,97.93830617,1,98.75458269,380.1339663,67412.88889,105.0555556,0.09986673,89.33333333,100,2.370867262,14.61106379,0
136,52.66666667,98.04404449,1,122.673727,401.949799,66948.88889,101.8888889,0.099234292,89.75,100,1.804828045,22.45865998,0
137,46,98.0446345,4,367.2404512,479.5695653,65944.44444,99.44444444,0.099947735,88.77777778,100,1.817548778,15.29336978,0
138,40.66666667,98.03389231,4,215.3891754,388.4182405,68306.44444,111.9444444,0.097455452,89.19444444,100,2.081812468,17.97353366,0
139,62,97.96913656,1,341.5333836,358.5767395,64772.88889,125.3888889,0.097989745,92.47222222,100,2.922164357,22.23169191,0
140,53,97.94554392,1,171.9773426,329.1986384,60078,113.4444444,0.097892765,94.08333333,100,3.112609656,20.83966855,2
141,56.33333333,98.03109233,1.333333333,124.2146439,346.0139606,57877.11111,118.0555556,0.104137139,102.1666667,100,3.124467142,10.41751863,0
